OTIDES 100 2 0  1 11 021         -0.01219990     0.00000000           18i+     11101  055.5655 
OTIDES 100 2 0  1  1-112         -0.01176698    -0.02376708           Sa        1092  056.5545 
OTIDES 100 3 0  1  1-112          0.03721773    -0.03588334           Sa        1092  056.5545 
OTIDES 100 4 0  1  1-112         -0.00041578    -0.00005940           Sa        1092  056.5545 
OTIDES 100 5 0  1  1-112          0.00081999    -0.00000372           Sa        1092  056.5545 
OTIDES 100 6 0  1  1-112         -0.00064074     0.00086940           Sa        1092  056.5545 
OTIDES 100 7 0  1  1-112          0.00066300     0.00036400           Sa        1092  056.5545 
OTIDES 100 8 0  1  1-112         -0.00021400    -0.00012200           Sa        1092  056.5545 
OTIDES-10011 5 -1 20 012      0.85554825E-08-0.58803608E-08           Ssa-   3020102  057.5555 
OTIDES 10011 6 -1 20 012     -0.37057670E-10-0.29580850E-10           Ssa+   2020102  057.5555 
OTIDES-10011 6 -1 20 012      0.75645029E-10 0.54574135E-09           Ssa-   3020102  057.5555 
OTIDES 10011 7 -1 20 012     -0.17426470E-10 0.50443830E-10           Ssa+   2020102  057.5555 
OTIDES-10011 7 -1 20 012      0.11024953E-09 0.26792440E-10           Ssa-   3020102  057.5555 
OTIDES 10011 8 -1 20 012     -0.12932430E-10 0.51273905E-11           Ssa+   2020102  057.5555 
OTIDES-10011 8 -1 20 012      0.19987200E-11 0.78194895E-11           Ssa-   3020102  057.5555 
OTIDES 10011 9 -1 20 012     -0.29207415E-12-0.25782950E-12           Ssa+   2020102  057.5555 
OTIDES-10011 9 -1 20 012     -0.12843149E-11 0.24003015E-11           Ssa-   3020102  057.5555 
OTIDES 1001110 -1 20 012     -0.30107050E-13 0.16629645E-12           Ssa+   2020102  057.5555 
OTIDES-1001110 -1 20 012      0.28914885E-12 0.60381850E-13           Ssa-   3020102  057.5555 
OTIDES 1001111 -1 20 012      0.17641520E-13-0.36893661E-13           Ssa+   2020102  057.5555 
OTIDES-1001111 -1 20 012     -0.28075770E-13 0.32874598E-13           Ssa-   3020102  057.5555 
OTIDES 10012 0 -1 20 012      0.12443000E-02 0.16147080E-02           Ssa+   2020102  057.5555 
OTIDES 10012 1 -1 20 012     -0.15148508E-03-0.89366475E-04           Ssa+   2020102  057.5555 
OTIDES-10012 1 -1 20 012     -0.76801515E-04-0.15886253E-03           Ssa-   3020102  057.5555 
OTIDES 10012 2 -1 20 012     -0.89370645E-05 0.90077630E-05           Ssa+   2020102  057.5555 
OTIDES-10012 2 -1 20 012      0.14277636E-04-0.17079670E-05           Ssa-   3020102  057.5555 
OTIDES 10012 3 -1 20 012      0.19258599E-07 0.77103010E-06           Ssa+   2020102  057.5555 
OTIDES-10012 3 -1 20 012      0.59327990E-06-0.38738290E-06           Ssa-   3020102  057.5555 
OTIDES 10012 4 -1 20 012      0.15882215E-07 0.92855275E-08           Ssa+   2020102  057.5555 
OTIDES-10012 4 -1 20 012      0.52681455E-07 0.42246026E-08           Ssa-   3020102  057.5555 
OTIDES 10012 5 -1 20 012      0.16163550E-08 0.77014955E-09           Ssa+   2020102  057.5555 
OTIDES-10012 5 -1 20 012      0.50905420E-08 0.35209358E-10           Ssa-   3020102  057.5555 
OTIDES 10012 6 -1 20 012      0.36235129E-09 0.51913305E-09           Ssa+   2020102  057.5555 
OTIDES-10012 6 -1 20 012      0.34978211E-09-0.23206515E-09           Ssa-   3020102  057.5555 
OTIDES 10012 7 -1 20 012      0.11594955E-10 0.11525479E-10           Ssa+   2020102  057.5555 
OTIDES-10012 7 -1 20 012      0.51463845E-10-0.11781331E-10           Ssa-   3020102  057.5555 
OTIDES 10012 8 -1 20 012      0.18328285E-11-0.27630137E-11           Ssa+   2020102  057.5555 
OTIDES-10012 8 -1 20 012      0.62254015E-11 0.18638063E-11           Ssa-   3020102  057.5555 
OTIDES 10012 9 -1 20 012     -0.38413620E-12-0.22341675E-12           Ssa+   2020102  057.5555 
OTIDES-10012 9 -1 20 012     -0.12007700E-12-0.36165725E-12           Ssa-   3020102  057.5555 
OTIDES 1001210 -1 20 012      0.23194451E-14-0.50254660E-13           Ssa+   2020102  057.5555 
OTIDES-1001210 -1 20 012     -0.13440425E-13 0.77501040E-13           Ssa-   3020102  057.5555 
OTIDES 1001211 -1 20 012      0.33224610E-14 0.60767845E-14           Ssa+   2020102  057.5555 
OTIDES-1001211 -1 20 012      0.78844290E-14-0.12347555E-14           Ssa-   3020102  057.5555 
OTIDES 1001212 -1 20 012      0.57970150E-15-0.17926577E-14           Ssa+   2020102  057.5555 
OTIDES-1001212 -1 20 012     -0.89828450E-15-0.89490325E-15           Ssa-   3020102  057.5555 
OTIDES 10013 0 -1 20 012     -0.80678180E-03-0.12025370E-02           Ssa+   2020102  057.5555 
OTIDES 10013 1 -1 20 012     -0.23492795E-03-0.10524944E-03           Ssa+   2020102  057.5555 
OTIDES-10013 1 -1 20 012      0.94304750E-04-0.17717396E-03           Ssa-   3020102  057.5555 
OTIDES 10013 2 -1 20 012     -0.64893630E-06 0.36325835E-05           Ssa+   2020102  057.5555 
OTIDES-10013 2 -1 20 012     -0.51667370E-06-0.60184250E-06           Ssa-   3020102  057.5555 
OTIDES 10013 3 -1 20 012      0.39952980E-06-0.58802045E-07           Ssa+   2020102  057.5555 
OTIDES-10013 3 -1 20 012      0.79226600E-07-0.54362954E-07           Ssa-   3020102  057.5555 
OTIDES 10013 4 -1 20 012      0.33690230E-07 0.61444210E-07           Ssa+   2020102  057.5555 
OTIDES-10013 4 -1 20 012      0.24944770E-07-0.10553550E-07           Ssa-   3020102  057.5555 
OTIDES 10013 5 -1 20 012      0.39683390E-08-0.51399939E-10           Ssa+   2020102  057.5555 
OTIDES-10013 5 -1 20 012     -0.79986700E-09-0.69240755E-10           Ssa-   3020102  057.5555 
OTIDES 10013 6 -1 20 012      0.16105694E-09-0.49549000E-10           Ssa+   2020102  057.5555 
OTIDES-10013 6 -1 20 012      0.25968386E-09 0.31654750E-09           Ssa-   3020102  057.5555 
OTIDES 10013 7 -1 20 012      0.55217299E-11 0.37448210E-10           Ssa+   2020102  057.5555 
OTIDES-10013 7 -1 20 012      0.26114140E-10 0.25732220E-10           Ssa-   3020102  057.5555 
OTIDES 10013 8 -1 20 012      0.12535901E-11 0.79648650E-12           Ssa+   2020102  057.5555 
OTIDES-10013 8 -1 20 012     -0.69511885E-12 0.24297875E-11           Ssa-   3020102  057.5555 
OTIDES 10013 9 -1 20 012      0.24829740E-12-0.26832507E-12           Ssa+   2020102  057.5555 
OTIDES-10013 9 -1 20 012     -0.21683100E-13 0.17060312E-12           Ssa-   3020102  057.5555 
OTIDES 1001310 -1 20 012      0.20695325E-13 0.34579995E-14           Ssa+   2020102  057.5555 
OTIDES-1001310 -1 20 012     -0.19225650E-14-0.68324905E-14           Ssa-   3020102  057.5555 
OTIDES 1001311 -1 20 012      0.48377050E-15-0.27405205E-14           Ssa+   2020102  057.5555 
OTIDES-1001311 -1 20 012     -0.17084935E-14 0.67441850E-15           Ssa-   3020102  057.5555 
OTIDES 1001312 -1 20 012      0.18216020E-15 0.29344650E-16           Ssa+   2020102  057.5555 
OTIDES-1001312 -1 20 012      0.15566600E-16-0.25184575E-15           Ssa-   3020102  057.5555 
OTIDES 1001313 -1 20 012      0.24898885E-16-0.48881355E-16           Ssa+   2020102  057.5555 
OTIDES-1001313 -1 20 012     -0.21715715E-16-0.26352285E-16           Ssa-   3020102  057.5555 
OTIDES 10014 0 -1 20 012      0.28119050E-02-0.25194180E-02           Ssa+   2020102  057.5555 
OTIDES 10014 1 -1 20 012     -0.10774223E-03-0.73874820E-04           Ssa+   2020102  057.5555 
OTIDES-10014 1 -1 20 012      0.22837670E-04-0.16236960E-04           Ssa-   3020102  057.5555 
OTIDES 10014 2 -1 20 012      0.68639205E-05-0.15117710E-05           Ssa+   2020102  057.5555 
OTIDES-10014 2 -1 20 012      0.48205095E-05-0.57187310E-05           Ssa-   3020102  057.5555 
OTIDES 10014 3 -1 20 012     -0.41834200E-07 0.20996100E-06           Ssa+   2020102  057.5555 
OTIDES-10014 3 -1 20 012     -0.23927650E-06-0.71485700E-07           Ssa-   3020102  057.5555 
OTIDES 10014 4 -1 20 012      0.58495625E-07 0.22658075E-07           Ssa+   2020102  057.5555 
OTIDES-10014 4 -1 20 012     -0.72165850E-08 0.51838535E-07           Ssa-   3020102  057.5555 
OTIDES 10014 5 -1 20 012      0.51166090E-08 0.14805165E-08           Ssa+   2020102  057.5555 
OTIDES-10014 5 -1 20 012      0.66089200E-09 0.26363075E-08           Ssa-   3020102  057.5555 
OTIDES 10014 6 -1 20 012      0.36039199E-11 0.88350650E-10           Ssa+   2020102  057.5555 
OTIDES-10014 6 -1 20 012      0.66509140E-10 0.23797745E-09           Ssa-   3020102  057.5555 
OTIDES 10014 7 -1 20 012      0.12921313E-10 0.28321515E-11           Ssa+   2020102  057.5555 
OTIDES-10014 7 -1 20 012      0.10893936E-10 0.12237389E-10           Ssa-   3020102  057.5555 
OTIDES 10014 8 -1 20 012      0.80779765E-12-0.15416050E-12           Ssa+   2020102  057.5555 
OTIDES-10014 8 -1 20 012      0.42990935E-12 0.14229005E-11           Ssa-   3020102  057.5555 
OTIDES 10014 9 -1 20 012     -0.23742850E-14-0.24260139E-13           Ssa+   2020102  057.5555 
OTIDES-10014 9 -1 20 012     -0.14085595E-13-0.20789642E-13           Ssa-   3020102  057.5555 
OTIDES 1001410 -1 20 012     -0.40568985E-14 0.45566480E-14           Ssa+   2020102  057.5555 
OTIDES-1001410 -1 20 012      0.27864805E-14 0.12470240E-14           Ssa-   3020102  057.5555 
OTIDES 1001411 -1 20 012     -0.10370505E-15 0.10412926E-14           Ssa+   2020102  057.5555 
OTIDES-1001411 -1 20 012     -0.43813805E-15-0.36262940E-15           Ssa-   3020102  057.5555 
OTIDES 1001412 -1 20 012      0.54097251E-17-0.34551556E-16           Ssa+   2020102  057.5555 
OTIDES-1001412 -1 20 012     -0.54664415E-16-0.44256164E-16           Ssa-   3020102  057.5555 
OTIDES 1001413 -1 20 012      0.14136170E-17 0.22744938E-17           Ssa+   2020102  057.5555 
OTIDES-1001413 -1 20 012     -0.87005430E-17-0.23923812E-17           Ssa-   3020102  057.5555 
OTIDES 1001414 -1 20 012      0.15998312E-17-0.19356085E-18           Ssa+   2020102  057.5555 
OTIDES-1001414 -1 20 012     -0.71532480E-18 0.73115695E-18           Ssa-   3020102  057.5555 
OTIDES 10015 0 -1 20 012     -0.51872410E-03 0.59535910E-03           Ssa+   2020102  057.5555 
OTIDES 10015 1 -1 20 012      0.91631925E-04 0.15751680E-04           Ssa+   2020102  057.5555 
OTIDES-10015 1 -1 20 012     -0.41800875E-04-0.47118750E-04           Ssa-   3020102  057.5555 
OTIDES 10015 2 -1 20 012     -0.31124580E-05 0.31645635E-05           Ssa+   2020102  057.5555 
OTIDES-10015 2 -1 20 012      0.84581420E-05-0.12722505E-05           Ssa-   3020102  057.5555 
OTIDES 10015 3 -1 20 012      0.36879850E-07-0.98051935E-07           Ssa+   2020102  057.5555 
OTIDES-10015 3 -1 20 012     -0.18609815E-06 0.18046446E-06           Ssa-   3020102  057.5555 
OTIDES 10015 4 -1 20 012      0.84875795E-08-0.69864625E-08           Ssa+   2020102  057.5555 
OTIDES-10015 4 -1 20 012     -0.45007850E-09-0.11807868E-07           Ssa-   3020102  057.5555 
OTIDES 10015 5 -1 20 012      0.15023330E-08-0.13484326E-08           Ssa+   2020102  057.5555 
